02-25 11:12:22 AM,AAA,0,0,0,0,0
03-03 11:14:36 AM,B,593.32,0,0,0,593.32
03-03 11:21:33 AM,S,0,593.81,0.49,0.49,0
03-03 02:07:49 PM,SS,0,589.59,0,0.49,589.59
03-03 02:17:37 PM,SB,588.66,0,0.93,1.42,0
